,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,식별,,,기본 스탯 factor,,,회피 시스템,,,폭탄 스탯 factor,,,,,폭탄 발사 시스템,,,,,폭발 지연 시스템,,사용 오브젝트,,,대기 애니메이션,이동 애니메이션,,,,,,,,회피 애니메이션,,,,,,,,공격 애니메이션,넉백 점프 애니메이션,피격 애니메이션,사망 애니메이션,이펙트,,,사운드,,,,,,1
,번호,이름,ID,체력,이동속도,무게,회피속도,회피시간,회피쿨타임,폭발범위,폭발대미지,폭발파워,넉백각도,넉백조정값,발사위치,폭탄체공속도,최소사거리,최대사거리,폭탄발사쿨타임,입력감지시간,폭발지연시간,캐릭터,총기,폭탄,대기,앞으로 달리기,뒤로 달리기,오른쪽으로 달리기,왼쪽으로 달리기,앞-오른 대각선으로 달리기,앞-왼 대각선으로 달리기,뒤-오른 대각선으로 달리기,뒤-왼 대각선으로 달리기,앞으로 회피,뒤로 회피,오른쪽 회피,왼쪽 회피,앞-오른 회피,앞-왼 회피,뒤-오른 회피,뒤-왼 회피,폭탄발사,넉백점프,넉백피격,사망,폭탄발사이펙트,폭탄폭발,피격,대기,이동,피격,사망,폭탄발사,폭탄폭발,
,index,name,id,hp,moveSpeed,weight,dodgeSpeed,dodgeTime,dodgeCoolTime,explosionRangeRadius,explosionDamage,explosionPower,kbAngle,kbControl,launchPointOb,boomSpeed,minRange,maxRange,launchCoolTime,inputCheckTime,explosionDelayTime,obCharacter,obGun,obAmmo,animIdle,animRunToFront,animRunToBack,animRunToRight,animRunToLeft,animRunToFRDiagonal,animRunToFLDiagonal,animRunToBRDiagonal,animRunToBLDiagonal,animDodgeToFront,animDodgeToBack,animDodgeToRight,animDodgeToLeft,animDodgeToFRDiagonal,animDodgeToFLDiagonal,animDodgeToBRDiagonal,animDodgeToBLDiagonal,animLaunch,animKbJump,animKbHit,animDead,effectLaunch,effectExplosion,effectHit,voiceIdle,voiceMove,voiceHit,voiceDead,soundLaunch,soundExplosion,
,int,string,int,int,float,float,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,
,1,PC1,20101,100,3,10,9,1,5,1.5,10,50,80,1,10903,30,1.5,7,0.5,0.3,5,10101,10205,10824,-,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40302,40301,-1,50205,50201,50404,-1,-1,-1,-1,-1,-1,
,2,PC2,20102,100,3,10,9,1,5,1.5,10,50,80,1,10904,30,1.5,7,0.5,0.3,5,10102,10206,10825,-,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40302,40301,-1,50205,50202,50404,-1,-1,-1,-1,-1,-1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
