1,식별,,,설명,,,,1
,번호,이름,ID,어드레스어블네임,에셋위치,프리펩이름,설명,
,index,name,id,addressableName,assetAdd,prefabName,comments,
,int,string,int,string,string,string,string,
,1,PC1,10101,,Assets/00_DataBase/01_PC/01_Object/CharacterYellow1,Ob_CharacterYellow1,게임에서 사용할 플레이어1의 캐릭터오브젝트,
,2,PC2,10102,,Assets/00_DataBase/01_PC/01_Object/CharacterRed2,Ob_CharacterRed2,게임에서 사용할 플레이어2의 캐릭터오브젝트,
,3,PC발사위치1,10903,,Assets/00_DataBase/01_PC/01_Object/CharacterYellow1,Ob_LaunchPointOb1,플레이어1 캐릭터의 총구 위치를 표시하는 좌표오브젝트,
,4,PC발사위치2,10904,,Assets/00_DataBase/01_PC/01_Object/CharacterRed2,Ob_LaunchPointOb2,플레이어2 캐릭터의 총구 위치를 표시하는 좌표오브젝트,
,5,PC1무기,10205,,Assets/FEVERNOVA_Assets/05Prefabs/Weapons/SM_Wep_Heavy_02 1,Ob_WeaponYellow1,플레이어1 캐릭터가 사용하는 총기,
,6,PC2무기,10206,,Assets/FEVERNOVA_Assets/05Prefabs/Weapons/SM_Wep_Heavy_02 2,Ob_WeaponRed2,플레이어2 캐릭터가 사용하는 총기,
,7,Medical,10207,,Assets/00_DataBase/02_NPC/01_Object/Ob_Medical/Ob_Medical,Ob_Medical,근거리 공격을 하는 일반 NPC,
,8,Cop,10208,,Assets/00_DataBase/02_NPC/01_Object/Ob_Cop/Ob_Cop,Ob_Cop,원거리 공격을 하는 일반 NPC,
,9,Cyborg,10209,,Assets/00_DataBase/02_NPC/01_Object/Ob_Cyborg/Ob_Cyborg,Ob_Cyborg,근거리 공격을 하는 엘리트 NPC,
,10,Robot,10210,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_Robot,Ob_Robot,보스 NPC,
,11,CyborgBarrier,10211,,Assets/00_DataBase/02_NPC/01_Object/Ob_Cyborg/Ob_CyborgBarrier,Ob_CyborgBarrier,엘리트 NPC가 스킬2(배리어)를 사용할 때 나타나는 오브젝트,
,12,RobotBarrier,10212,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotBarrier,Ob_RobotBarrier,보스 NPC가 스킬3(배리어)을 사용할 때 나타나는 오브젝트,
,13,RobotBombingBarrier,10213,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotBombingBarrier,Ob_RobotBombingBarrier,보스 NPC가 스킬5(폭격)를 사용할 때 나타나는 오브젝트,
,14,MedicalSkill01Ob,10514,,Assets/00_DataBase/02_NPC/01_Object/Ob_Medical/Ob_MedicalSkill01,Ob_MedicalSkill01,일반 근거리 NPC의 스킬1(기본 공격) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,15,CopSkill01Ob,10515,,Assets/00_DataBase/02_NPC/01_Object/Ob_Cop/Ob_CopSkill01,Ob_CopSkill01,일반 원거리 NPC의 스킬1(기본 공격) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,16,CyborgSkill01Ob,10516,,Assets/00_DataBase/02_NPC/01_Object/Ob_Cyborg/Ob_CyborgSkill01,Ob_CyborgSkill01,엘리트 NPC의 스킬1(기본 공격) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,17,CyborgSkill02Ob,10517,,Assets/00_DataBase/02_NPC/01_Object/Ob_Cyborg/Ob_CyborgSkill02,Ob_CyborgSkill02,엘리트 NPC의 스킬2(배리어) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,18,RobotSkill01Ob,10518,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotSkill01,Ob_RobotSkill01,보스 NPC의 스킬1(근거리 기본 공격) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,19,RobotSkill02Ob,10519,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotSkill02,Ob_RobotSkill02,보스 NPC의 스킬2(원거리 기본 공격) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,20,RobotSkill03Ob,10520,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotSkill03,Ob_RobotSkill03,보스 NPC의 스킬3(배리어) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,21,RobotSkill04Ob,10521,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotSkill04,Ob_RobotSkill04,보스 NPC의 스킬4(돌진) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,22,RobotSkill05Ob,10522,,Assets/00_DataBase/02_NPC/01_Object/Ob_Robot/Ob_RobotSkill05,Ob_RobotSkill05,보스 NPC의 스킬5(폭격) 선정 시 스킬 매니저에 의해 생성될 스킬 오브젝트,
,23,배럴,10423,,Assets/00_DataBase/02_NPC/01_Object/Ob_Berral,Ob_Berral,레벨상에 등장하는 폭발하는 폭탄 기믹NPC,
,24,PC1유탄,10824,,Assets/00_DataBase/01_PC/01_Object/Ob_PCGranadeYellow1,Ob_PCGranadeYellow1,플레이어1 캐릭터가 사용하는 폭탄,
,25,PC2유탄,10825,,Assets/00_DataBase/01_PC/01_Object/Ob_PCGranadeRed2,Ob_PCGranadeRed2,플레이어2 캐릭터가 사용하는 폭탄,
,26,strider,10326,,Assets/00_DataBase/02_NPC/01_Object/Ob_Strider,Ob_Strider,스테이지1에서 소환형 스킬을 사용하는 중간보스NPC,
,27,strider원거리스킬Ob,10927,,Assets/00_DataBase/02_NPC/01_Object/SkillOb_Strider/Ob_StriderSkill01,Ob_StriderSkill01,strider중간보스NPC가 원거리스킬 사용 시 스킬오브젝트 생성 위치를 참조하는 좌표오브젝트,
,28,strider소환스킬Ob,10928,,Assets/00_DataBase/02_NPC/01_Object/SkillOb_Strider/Ob_StriderSkill02,Ob_StriderSkill02,strider중간보스NPC가 소환스킬 사용 시 스킬오브젝트 생성 위치를 참조하는 좌표오브젝트,
